areaNm,daywkDivNm,touNum,baseYmd
부산광역시,일요일,622706.0,2022-01-30
대구광역시,일요일,428683.5,2022-01-30
인천광역시,일요일,542290.0,2022-01-30
광주광역시,일요일,288662.5,2022-01-30
대전광역시,일요일,293492.5,2022-01-30
울산광역시,일요일,200515.0,2022-01-30
세종특별자치시,일요일,95504.5,2022-01-30
경기도,일요일,2033150.0,2022-01-30
강원도,일요일,764960.0,2022-01-30
충청북도,일요일,453288.5,2022-01-30
충청남도,일요일,695457.0,2022-01-30
전라북도,일요일,548842.0,2022-01-30
전라남도,일요일,718686.5,2022-01-30
경상북도,일요일,869837.5,2022-01-30
경상남도,일요일,763612.5,2022-01-30
제주특별자치도,일요일,235343.5,2022-01-30
서울특별시,월요일,1502165.0,2022-01-31
부산광역시,월요일,693122.5,2022-01-31
대구광역시,월요일,475055.0,2022-01-31
인천광역시,월요일,613851.0,2022-01-31
광주광역시,월요일,302491.0,2022-01-31
대전광역시,월요일,320082.0,2022-01-31
울산광역시,월요일,213654.0,2022-01-31
세종특별자치시,월요일,102942.0,2022-01-31
경기도,월요일,2223221.0,2022-01-31
강원도,월요일,836622.5,2022-01-31
충청북도,월요일,534019.5,2022-01-31
충청남도,월요일,835208.5,2022-01-31
전라북도,월요일,632425.5,2022-01-31
전라남도,월요일,849271.5,2022-01-31
경상북도,월요일,1049496.0,2022-01-31
경상남도,월요일,884793.0,2022-01-31
제주특별자치도,월요일,243778.5,2022-01-31
서울특별시,화요일,1440124.0,2022-02-01
부산광역시,화요일,661983.0,2022-02-01
대구광역시,화요일,453600.0,2022-02-01
인천광역시,화요일,581038.5,2022-02-01
광주광역시,화요일,243677.0,2022-02-01
대전광역시,화요일,278547.5,2022-02-01
울산광역시,화요일,196017.5,2022-02-01
세종특별자치시,화요일,90702.5,2022-02-01
경기도,화요일,1974997.5,2022-02-01
강원도,화요일,648252.5,2022-02-01
충청북도,화요일,480623.5,2022-02-01
충청남도,화요일,778932.0,2022-02-01
전라북도,화요일,546049.0,2022-02-01
전라남도,화요일,768400.5,2022-02-01
경상북도,화요일,1111386.5,2022-02-01
경상남도,화요일,880628.0,2022-02-01
제주특별자치도,화요일,202247.5,2022-02-01
서울특별시,수요일,1002662.5,2022-02-02
부산광역시,수요일,445966.5,2022-02-02
대구광역시,수요일,294318.5,2022-02-02
인천광역시,수요일,377818.0,2022-02-02
광주광역시,수요일,174524.0,2022-02-02
대전광역시,수요일,193417.0,2022-02-02
울산광역시,수요일,136703.0,2022-02-02
세종특별자치시,수요일,64004.5,2022-02-02
경기도,수요일,1407549.5,2022-02-02
강원도,수요일,425453.0,2022-02-02
충청북도,수요일,275082.5,2022-02-02
충청남도,수요일,423808.0,2022-02-02
전라북도,수요일,321856.5,2022-02-02
전라남도,수요일,421228.5,2022-02-02
경상북도,수요일,598318.0,2022-02-02
경상남도,수요일,515291.0,2022-02-02
제주특별자치도,수요일,182280.0,2022-02-02
서울특별시,목요일,1043612.5,2022-02-03
부산광역시,목요일,320565.0,2022-02-03
대구광역시,목요일,204592.5,2022-02-03
인천광역시,목요일,257498.5,2022-02-03
광주광역시,목요일,133122.5,2022-02-03
대전광역시,목요일,147182.0,2022-02-03
울산광역시,목요일,99827.0,2022-02-03
세종특별자치시,목요일,48216.0,2022-02-03
경기도,목요일,1031744.0,2022-02-03
강원도,목요일,280210.0,2022-02-03
충청북도,목요일,178832.5,2022-02-03
충청남도,목요일,256186.0,2022-02-03
전라북도,목요일,181527.5,2022-02-03
전라남도,목요일,237111.0,2022-02-03
경상북도,목요일,325622.5,2022-02-03
경상남도,목요일,303569.0,2022-02-03
제주특별자치도,목요일,165434.5,2022-02-03
서울특별시,금요일,1162017.5,2022-02-04
부산광역시,금요일,312137.0,2022-02-04
대구광역시,금요일,199654.0,2022-02-04
인천광역시,금요일,284396.0,2022-02-04
광주광역시,금요일,127253.0,2022-02-04
대전광역시,금요일,153174.0,2022-02-04
울산광역시,금요일,98126.0,2022-02-04
세종특별자치시,금요일,54113.5,2022-02-04
경기도,금요일,1132278.0,2022-02-04
강원도,금요일,294210.0,2022-02-04
충청북도,금요일,186952.5,2022-02-04
충청남도,금요일,263837.0,2022-02-04
전라북도,금요일,168276.5,2022-02-04
전라남도,금요일,224560.0,2022-02-04
경상북도,금요일,319557.0,2022-02-04
경상남도,금요일,297640.0,2022-02-04
제주특별자치도,금요일,162235.5,2022-02-04
서울특별시,토요일,1258124.0,2022-02-05
부산광역시,토요일,348635.0,2022-02-05
대구광역시,토요일,227969.0,2022-02-05
인천광역시,토요일,357189.0,2022-02-05
광주광역시,토요일,135117.5,2022-02-05
대전광역시,토요일,183778.0,2022-02-05
울산광역시,토요일,107289.0,2022-02-05
세종특별자치시,토요일,63868.0,2022-02-05
경기도,토요일,1396356.5,2022-02-05
강원도,토요일,390677.0,2022-02-05
충청북도,토요일,223482.0,2022-02-05
충청남도,토요일,332038.0,2022-02-05
전라북도,토요일,201848.5,2022-02-05
전라남도,토요일,239827.0,2022-02-05
경상북도,토요일,390047.0,2022-02-05
경상남도,토요일,346255.0,2022-02-05
제주특별자치도,토요일,159610.5,2022-02-05
서울특별시,일요일,1039090.5,2022-02-06
부산광역시,일요일,303033.5,2022-02-06
대구광역시,일요일,190379.0,2022-02-06
인천광역시,일요일,311381.0,2022-02-06
광주광역시,일요일,115118.5,2022-02-06
대전광역시,일요일,152015.5,2022-02-06
울산광역시,일요일,97499.5,2022-02-06
세종특별자치시,일요일,55090.0,2022-02-06
경기도,일요일,1258106.5,2022-02-06
강원도,일요일,343710.5,2022-02-06
충청북도,일요일,198282.0,2022-02-06
충청남도,일요일,302778.0,2022-02-06
전라북도,일요일,181625.5,2022-02-06
전라남도,일요일,228277.0,2022-02-06
경상북도,일요일,368777.5,2022-02-06
경상남도,일요일,322346.5,2022-02-06
제주특별자치도,일요일,158154.5,2022-02-06
서울특별시,월요일,1132862.5,2022-02-07
부산광역시,월요일,268950.5,2022-02-07
대구광역시,월요일,173593.0,2022-02-07
인천광역시,월요일,265867.0,2022-02-07
광주광역시,월요일,113123.5,2022-02-07
대전광역시,월요일,140612.5,2022-02-07
울산광역시,월요일,88193.0,2022-02-07
세종특별자치시,월요일,50256.5,2022-02-07
