areaNm,touNum,baseYmd,AccumulateCovid19,increase,localIncrease,CovidForeigner
충청남도,416580.5,2022-01-16,19893.0,114.0,105.0,9.0
전라북도,259164.5,2022-01-16,10970.0,123.0,112.0,11.0
전라남도,325388.0,2022-01-16,7630.0,169.0,160.0,9.0
경상북도,502330.5,2022-01-16,16729.0,108.0,102.0,6.0
경상남도,433807.5,2022-01-16,22517.0,123.0,112.0,11.0
제주특별자치도,208099.5,2022-01-16,4885.0,8.0,5.0,3.0
서울특별시,1333878.0,2022-01-17,242574.0,790.0,711.0,79.0
부산광역시,315651.0,2022-01-17,27988.0,117.0,109.0,8.0
대구광역시,219296.0,2022-01-17,24984.0,176.0,171.0,5.0
인천광역시,315014.0,2022-01-17,40430.0,200.0,187.0,13.0
광주광역시,142821.0,2022-01-17,10291.0,242.0,237.0,5.0
대전광역시,171969.0,2022-01-17,13154.0,82.0,79.0,3.0
울산광역시,107786.0,2022-01-17,7424.0,19.0,17.0,2.0
세종특별자치시,60427.5,2022-01-17,2365.0,7.0,5.0,2.0
경기도,1297614.5,2022-01-17,209454.0,1427.0,1351.0,76.0
강원도,305599.0,2022-01-17,13744.0,79.0,73.0,6.0
충청북도,208677.0,2022-01-17,12497.0,42.0,38.0,4.0
충청남도,297780.0,2022-01-17,19997.0,104.0,93.0,11.0
전라북도,179105.5,2022-01-17,11094.0,124.0,114.0,10.0
전라남도,240971.5,2022-01-17,7796.0,166.0,161.0,5.0
경상북도,330561.0,2022-01-17,16824.0,95.0,87.0,8.0
경상남도,316015.0,2022-01-17,22636.0,119.0,106.0,13.0
제주특별자치도,207235.0,2022-01-17,4897.0,12.0,12.0,0.0
서울특별시,1378464.5,2022-01-18,243337.0,763.0,684.0,79.0
부산광역시,313894.0,2022-01-18,28102.0,114.0,102.0,12.0
대구광역시,220881.5,2022-01-18,25155.0,171.0,162.0,9.0
인천광역시,321618.5,2022-01-18,40625.0,196.0,177.0,19.0
광주광역시,145159.0,2022-01-18,10475.0,184.0,174.0,10.0
대전광역시,176148.0,2022-01-18,13262.0,108.0,101.0,7.0
울산광역시,110152.0,2022-01-18,7459.0,35.0,33.0,2.0
세종특별자치시,65110.5,2022-01-18,2388.0,23.0,21.0,2.0
경기도,1338956.5,2022-01-18,210984.0,1530.0,1470.0,60.0
강원도,283629.5,2022-01-18,13838.0,94.0,94.0,0.0
충청북도,216811.0,2022-01-18,12555.0,59.0,55.0,4.0
충청남도,303117.5,2022-01-18,20142.0,145.0,140.0,5.0
전라북도,180957.0,2022-01-18,11245.0,151.0,147.0,4.0
전라남도,249368.0,2022-01-18,7935.0,139.0,138.0,1.0
경상북도,338695.0,2022-01-18,16962.0,138.0,129.0,9.0
경상남도,322476.0,2022-01-18,22778.0,142.0,134.0,8.0
제주특별자치도,205625.0,2022-01-18,4900.0,3.0,2.0,1.0
서울특별시,1331456.0,2022-01-19,244565.0,1231.0,1125.0,106.0
부산광역시,319630.5,2022-01-19,28292.0,190.0,178.0,12.0
대구광역시,221322.5,2022-01-19,25368.0,213.0,197.0,16.0
인천광역시,305371.5,2022-01-19,41049.0,424.0,401.0,23.0
광주광역시,143846.5,2022-01-19,10701.0,226.0,218.0,8.0
대전광역시,177583.0,2022-01-19,13379.0,118.0,109.0,9.0
울산광역시,111324.5,2022-01-19,7503.0,44.0,44.0,0.0
세종특별자치시,63654.5,2022-01-19,2414.0,26.0,26.0,0.0
경기도,1268302.0,2022-01-19,213160.0,2176.0,2116.0,60.0
강원도,268191.0,2022-01-19,13986.0,148.0,146.0,2.0
충청북도,211099.0,2022-01-19,12636.0,81.0,79.0,2.0
충청남도,291938.5,2022-01-19,20325.0,183.0,173.0,10.0
전라북도,179347.0,2022-01-19,11388.0,143.0,134.0,9.0
전라남도,253638.0,2022-01-19,8089.0,154.0,143.0,11.0
경상북도,339006.5,2022-01-19,17132.0,170.0,151.0,19.0
경상남도,326361.0,2022-01-19,22979.0,201.0,183.0,18.0
제주특별자치도,205936.5,2022-01-19,4913.0,13.0,8.0,5.0
서울특별시,1427226.5,2022-01-20,245925.0,1362.0,1292.0,70.0
부산광역시,326648.0,2022-01-20,28495.0,203.0,193.0,10.0
대구광역시,228140.5,2022-01-20,25732.0,364.0,355.0,9.0
인천광역시,332843.0,2022-01-20,41467.0,418.0,407.0,11.0
광주광역시,146681.5,2022-01-20,11055.0,354.0,350.0,4.0
대전광역시,181615.0,2022-01-20,13476.0,97.0,94.0,3.0
울산광역시,113477.0,2022-01-20,7575.0,72.0,69.0,3.0
세종특별자치시,68673.5,2022-01-20,2423.0,9.0,9.0,0.0
경기도,1385485.5,2022-01-20,215578.0,2418.0,2364.0,54.0
강원도,274379.0,2022-01-20,14097.0,111.0,107.0,4.0
충청북도,220220.0,2022-01-20,12812.0,176.0,174.0,2.0
충청남도,307681.5,2022-01-20,20542.0,217.0,208.0,9.0
전라북도,186501.0,2022-01-20,11526.0,138.0,131.0,7.0
전라남도,257708.5,2022-01-20,8249.0,160.0,157.0,3.0
경상북도,345999.5,2022-01-20,17358.0,226.0,220.0,6.0
경상남도,333819.5,2022-01-20,23203.0,224.0,218.0,6.0
제주특별자치도,207172.0,2022-01-20,4923.0,10.0,9.0,1.0
서울특별시,1526791.0,2022-01-21,247475.0,1552.0,1485.0,67.0
